Evento,Titulo,Gratuito,Hora,Distrito,Barrio,Codigo,Longitud,Latitud,Tipo,Tipo1,Tipo2
11716644,Drive my car + corto,1,22:15,SAN BLAS-CANILLEJAS,HELLIN,28037,-3.622184001035289,40.42996840999023,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11715333,El bebé jefazo 2: negocios de familia + animación,1,22:15,SAN BLAS-CANILLEJAS,HELLIN,28037,-3.622184001035289,40.42996840999023,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11715385,A todo tren! destino Asturias + animación,1,22:15,SAN BLAS-CANILLEJAS,HELLIN,28037,-3.622184001035289,40.42996840999023,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11718687,Spirit ? Indomable,1,22:15,SAN BLAS-CANILLEJAS,HELLIN,28037,-3.622184001035289,40.42996840999023,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11716571,Mujercitas + animación,1,22:15,SAN BLAS-CANILLEJAS,HELLIN,28037,-3.622184001035289,40.42996840999023,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11715291,Maixabel + corto,1,22:15,SAN BLAS-CANILLEJAS,HELLIN,28037,-3.622184001035289,40.42996840999023,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11715355,Nomadland corto,1,22:15,SAN BLAS-CANILLEJAS,HELLIN,28037,-3.622184001035289,40.42996840999023,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11716835,Calamati + animación,1,22:15,SAN BLAS-CANILLEJAS,HELLIN,28037,-3.622184001035289,40.42996840999023,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11572214,Curso de relajación para jóvenes hasta 40 años.,1,18:30,CENTRO,JUSTICIA,28004,-3.699722994908341,40.426642215368176,contenido/actividades/CursosTalleres,CursosTalleres,
11695031,Club de Teatro 'Vargas Llosa',1,17:00,CENTRO,JUSTICIA,28004,-3.699722994908341,40.426642215368176,contenido/actividades/TeatroPerformance,TeatroPerformance,
11713139,Reading club. Club de lectura en inglés,1,19:00,CENTRO,JUSTICIA,28004,-3.699722994908341,40.426642215368176,contenido/actividades/ClubesLectura,ClubesLectura,
11688186,Taller Aprende a conocerte y a superar tus dificultades,1,18:00,CENTRO,JUSTICIA,28004,-3.699722994908341,40.426642215368176,contenido/actividades/CursosTalleres,CursosTalleres,
11709285,Concurso de cine de verano: ¡Un baile de cine!,1,,CENTRO,JUSTICIA,28004,-3.699722994908341,40.426642215368176,contenido/actividades/ConcursosCertamenes,ConcursosCertamenes,
11647602,Exposición 'Madrid hace un siglo.1900-1936. (Archivo ABC)',1,12:00,CENTRO,JUSTICIA,28004,-3.700845660719608,40.42577054821346,contenido/actividades/Exposiciones,Exposiciones,
10359034,Campamento CDM Vicente del Bosque,1,,FUENCARRAL-EL PARDO,LA PAZ,28029,-3.693540659747283,40.4789135943213,contenido/actividades/ActividadesDeportivas,ActividadesDeportivas,
11730730,Programa de actividades Centro Sociocultural Almirante Churruca,1,,LATINA,LAS AGUILAS,28024,-3.780089056410661,40.3829835905706,contenido/actividades/TeatroPerformance/ComediaMonologo,TeatroPerformance,ComediaMonologo
11730737,Programa de actividades en el Centro Cultural Miguel Hernández (Latina),1,,LATINA,LAS AGUILAS,28044,-3.781961611303212,40.378853797128336,contenido/actividades/DanzaBaile,DanzaBaile,
11731472,Expofotopoesía: 'Cerrando el círculo. Sueños Callejeros',1,,LATINA,LAS AGUILAS,28044,-3.761911556533903,40.38513183038149,contenido/actividades/Exposiciones,Exposiciones,
11730725,Programa de Actividades Auditorio Paco de Lucía (Latina),1,,LATINA,LAS AGUILAS,28044,-3.761911556533903,40.38513183038149,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11710537,Pinocchio,1,22:00,ARGANZUELA,LEGAZPI,28045,-3.685391155439898,40.390944081814816,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11710554,Space Jam,1,22:00,ARGANZUELA,LEGAZPI,28045,-3.685391155439898,40.390944081814816,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11710574,Tom y Jerry,1,22:00,ARGANZUELA,LEGAZPI,28045,-3.685391155439898,40.390944081814816,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11710566,Cry Macho,1,22:00,ARGANZUELA,LEGAZPI,28045,-3.685391155439898,40.390944081814816,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11710423,Con quién viajas,1,22:00,ARGANZUELA,LEGAZPI,28045,-3.685391155439898,40.390944081814816,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11710469,El tubo,1,22:00,ARGANZUELA,LEGAZPI,28045,-3.685391155439898,40.390944081814816,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11710415,De la India a París en un armario Ikea,1,,ARGANZUELA,LEGAZPI,28045,-3.685391155439898,40.390944081814816,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11710518,El verano que vivimos,1,22:00,ARGANZUELA,LEGAZPI,28045,-3.685391155439898,40.390944081814816,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11685931,Campamento urbano. Verano 2022. Distrito de Villaverde,1,,VILLAVERDE,LOS ANGELES,28021,-3.697947728073592,40.34949911149915,contenido/actividades/Campamentos,Campamentos,
11732514,Muestra de Artistas Jóvenes 'Plácido Fleitas',1,,RETIRO,LOS JERONIMOS,28009,-3.684061538792696,40.41906024374356,contenido/actividades/Exposiciones,Exposiciones,
11727206,Mujeres infieles,1,19:00,RETIRO,LOS JERONIMOS,28009,-3.684061538792696,40.41906024374356,contenido/actividades/TeatroPerformance,TeatroPerformance,
11715857,'La búsqueda del tesoro' e impresión de huellas de animales en arcilla,1,11:00,RETIRO,LOS JERONIMOS,28009,-3.679329078518436,40.40911512464532,contenido/actividades/CursosTalleres,CursosTalleres,
11717185,(Taller) Descubriendo el teatro de Títeres - Javier Aranda (Aragón),1,,RETIRO,LOS JERONIMOS,28009,-3.684061538792696,40.41906024374356,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11555983,Dulce agua,0,,RETIRO,LOS JERONIMOS,28014,-3.692206111679657,40.419011767401095,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11578946,"Schallfeld Ensemble Obras de Arnold Schoenberg, Francisco Guerrero, Salvatore Sciarrino y Anna Korsun",0,,RETIRO,LOS JERONIMOS,28014,-3.692206111679657,40.419011767401095,contenido/actividades/Musica,Musica,
11716753,(TALLER) Live Cinematurgias. Uso y control de la imagen en escena - Cinema Sticado (Galicia),1,10:00,RETIRO,LOS JERONIMOS,28009,-3.684061538792696,40.41906024374356,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11555995,Archivos Lambda. El proyecto del Museo Munch de Oslo,1,,RETIRO,LOS JERONIMOS,28014,-3.692206111679657,40.419011767401095,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11716168,Cibeles de Cine,0,,RETIRO,LOS JERONIMOS,28014,-3.692206111679657,40.419011767401095,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11700587,The pop art culture,0,,RETIRO,LOS JERONIMOS,28014,-3.692206111679657,40.419011767401095,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11688087,Arquitectura Atemporal 2022,0,,RETIRO,LOS JERONIMOS,28014,-3.692206111679657,40.419011767401095,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11715717,Taller 'Gestión de los residuos del hogar: Elaboración de jabón a partir de aceite usado',1,11:00,RETIRO,LOS JERONIMOS,28009,-3.679329078518436,40.40911512464532,contenido/actividades/ItinerariosOtrasActividadesAmbientales,ItinerariosOtrasActividadesAmbientales,
11578949,"Die Ordnung der Dinge Obras de Mayke Nas, Sonia Megías, Alexander Schubert, James Saunders, Thierry de Mey, Matthew Sholomowitz, Allison Knowles y Yoko Ono",0,,RETIRO,LOS JERONIMOS,28014,-3.692206111679657,40.419011767401095,contenido/actividades/Musica,Musica,
11669502,Fotografía pública,1,,RETIRO,LOS JERONIMOS,28014,-3.692206111679657,40.419011767401095,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11711262,Ciudad Adentro,0,,RETIRO,LOS JERONIMOS,28014,-3.692206111679657,40.419011767401095,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11715690,Senda 'El verano en el Retiro',1,,RETIRO,LOS JERONIMOS,28009,-3.679329078518436,40.40911512464532,contenido/actividades/ItinerariosOtrasActividadesAmbientales,ItinerariosOtrasActividadesAmbientales,
11717046,Ven y reconoce los insectos y otros pequeños habitantes de La Cabaña,1,11:00,RETIRO,LOS JERONIMOS,28009,-3.679329078518436,40.40911512464532,contenido/actividades/ItinerariosOtrasActividadesAmbientales,ItinerariosOtrasActividadesAmbientales,
11707215,Concierto de la Banda Sinfónica Municipal. Domingo 24 de julio de 2022,1,12:00,RETIRO,LOS JERONIMOS,28001,-3.68793370943788,40.41964087412762,contenido/actividades/Musica,Musica,
11724194,Copying Claudia,1,,RETIRO,LOS JERONIMOS,28009,-3.684061538792696,40.41906024374356,contenido/actividades/Exposiciones,Exposiciones,
11725318,Ana María Puente 'La Pelirroja',1,19:00,RETIRO,LOS JERONIMOS,28009,-3.684061538792696,40.41906024374356,contenido/actividades/Musica,Musica,
11733192,Despedida Copying Claudia,1,19:00,RETIRO,LOS JERONIMOS,28009,-3.684061538792696,40.41906024374356,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11711265,Entre río y raíles,0,,RETIRO,LOS JERONIMOS,28014,-3.692206111679657,40.419011767401095,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11727221,Anecdotario,1,18:00,RETIRO,LOS JERONIMOS,28009,-3.684061538792696,40.41906024374356,contenido/actividades/TeatroPerformance,TeatroPerformance,
11715646,Senda 'las plantas vivaces del Retiro',1,,RETIRO,LOS JERONIMOS,28009,-3.679329078518436,40.40911512464532,contenido/actividades/ItinerariosOtrasActividadesAmbientales,ItinerariosOtrasActividadesAmbientales,
11715917,"'Clic, clac, ¡a reciclar!'",1,11:00,RETIRO,LOS JERONIMOS,28009,-3.679329078518436,40.40911512464532,contenido/actividades/ItinerariosOtrasActividadesAmbientales,ItinerariosOtrasActividadesAmbientales,
11717104,Mirador Madrid,0,,RETIRO,LOS JERONIMOS,28014,-3.692206111679657,40.419011767401095,contenido/actividades/ActividadesCalleArteUrbano,ActividadesCalleArteUrbano,
11716378,Parias. Javier Aranda (Aragón),1,22:00,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11713825,Fin de temporada - Cinema Sticado (Galicia),0,19:30,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11714086,Giuseppe y Peppina - El Retablo (Madrid),1,,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11715623,"Cuentos mágicos, Kamishibai - Teatro Los Claveles (Región de Murcia)",0,19:30,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11713493,Pato Feo,0,,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11715682,The Puppet Show - Man - Yeung Faï (Francia / China),1,,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11692689,"Fabularia, El gallo Kikirigallo - La Carreta Teatro (Comunidad valenciana)",0,19:30,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11716536,Lover - Andrés Beladíez &amp; Marta Marco (Castilla La Mancha),1,22:00,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11713705,La Chef Pipa - Coma14 (Baleares),0,19:30,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11715681,Descalabro - Companya Matito Titelles (Cataluña),1,19:00,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11692728,Chinchulina y el Ruiseñor de la China - La Canica Teatro (Madrid),1,,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11715226,LOVO - Teatro Lafauna (Madrid),1,22:00,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11713777,"Alfredo, El coleccionista de mariposass - S.A. Marionetas (Portugal)",0,19:00,RETIRO,LOS JERÓNIMOS,28009,-3.6866519471003647,40.41878362561595,contenido/actividades/CuentacuentosTiteresMarionetas,CuentacuentosTiteresMarionetas,
11730733,Programa de actividades en el Centro Cultural José Luis Sampedro (Latina),1,,LATINA,LUCERO,28047,-3.749110841406562,40.40159394334669,contenido/actividades/TeatroPerformance/ComediaMonologo,TeatroPerformance,ComediaMonologo
11730752,Programa de actividades en el Centro Sociocultural El Greco (Latina),1,,LATINA,LUCERO,28011,-3.747465416906973,40.407316328180464,contenido/actividades/TeatroPerformance/ComediaMonologo,TeatroPerformance,ComediaMonologo
10074805,Campamento Urbano CC Alfredo Kraus segunda quincena,1,,FUENCARRAL-EL PARDO,MIRASIERRA,28035,-3.7216054330053647,40.49082275610172,contenido/actividades/Campamentos,Campamentos,
11722812,Día Internacional del Trabajo Doméstico. Visibilizando nuestros derechos,1,10:00,USERA,ORCASITAS,28041,-3.710212677306876,40.36902428128397,contenido/actividades/CursosTalleres,CursosTalleres,
11728785,Hablar de depresión es bueno,1,18:30,USERA,ORCASUR,28041,-3.701141063083806,40.366768324753416,contenido/actividades/ConferenciasColoquios,ConferenciasColoquios,
11733502,'Juega en tu biblioteca',1,10:30,USERA,ORCASUR,28041,-3.701141063083806,40.366768324753416,contenido/actividades/CursosTalleres,CursosTalleres,
11727033,El Cid Campeador,1,20:00,RETIRO,PACIFICO,28007,-3.677282629832909,40.402190438836826,contenido/actividades/TeatroPerformance,TeatroPerformance,
11723004,Annabelle vuelve a casa,1,22:00,RETIRO,PACIFICO,28007,-3.677282629832909,40.402190438836826,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11729439,10 de la AEPE,1,,RETIRO,PACIFICO,28007,-3.677282629832909,40.402190438836826,contenido/actividades/Exposiciones,Exposiciones,
11723001,Pokémon detective Pikachu,1,22:00,RETIRO,PACIFICO,28007,-3.677282629832909,40.402190438836826,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11717863,'Nuestra tertulia',1,18:30,RETIRO,PACIFICO,28007,-3.677282629832909,40.402190438836826,contenido/actividades/ConferenciasColoquios,ConferenciasColoquios,
11721766,Pinocho,1,22:00,RETIRO,PACIFICO,28007,-3.677282629832909,40.402190438836826,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11726937,Tina Calcetina o de cómo Tina conoce el valor de la amistad.,1,20:00,RETIRO,PACIFICO,28007,-3.677282629832909,40.402190438836826,contenido/actividades/TeatroPerformance,TeatroPerformance,
11724050,Dune,1,22:00,RETIRO,PACIFICO,28007,-3.677282629832909,40.402190438836826,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11719140,IV Certamen Literario de poesía y relato corto Clara Campoamor,1,,RETIRO,PACIFICO,28007,-3.677282629832909,40.402190438836826,contenido/actividades/ConcursosCertamenes,ConcursosCertamenes,
11727005,Jugar a jugar.,1,20:00,RETIRO,PACIFICO,28007,-3.677282629832909,40.402190438836826,contenido/actividades/TeatroPerformance,TeatroPerformance,
11724039,Muerte de un ciclista,1,22:00,RETIRO,PACIFICO,28007,-3.677282629832909,40.402190438836826,contenido/actividades/CineActividadesAudiovisuales,CineActividadesAudiovisuales,
11557504,Club de lectura japonesa,1,18:00,CENTRO,PALACIO,28005,-3.709859121273588,40.41410290844665,contenido/actividades/ClubesLectura,ClubesLectura,
11711722,Exposición 'Rincón de lectura SinSombrero',1,,CENTRO,PALACIO,28005,-3.709859121273588,40.41410290844665,contenido/actividades/Exposiciones,Exposiciones,
11706782,"'Libertad para amar', una exposición artística de Pury Gazituaga",1,,CENTRO,PALACIO,28005,-3.709859121273588,40.41410290844665,contenido/actividades/Exposiciones,Exposiciones,
11730513,Eufórica (Réquiem en dopamina),0,,ARGANZUELA,PALOS DE MOGUER,28012,-3.698601359753866,40.40596423138839,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11685731,Campamento del Price 2022,0,,ARGANZUELA,PALOS DE MOGUER,28012,-3.698601359753866,40.40596423138839,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11730478,FIRCO 2022,0,,ARGANZUELA,PALOS DE MOGUER,28012,-3.698601359753866,40.40596423138839,contenido/actividades/ProgramacionDestacadaAgendaCultura,ProgramacionDestacadaAgendaCultura,
11433385,El amor está en el agua,1,22:00,FUENCARRAL-EL PARDO,PEÑA GRANDE,28035,-3.717566523014736,40.476792184653526,contenido/actividades/ActividadesCalleArteUrbano,ActividadesCalleArteUrbano,
11433389,Mientras dure la guerra,1,22:00,FUENCARRAL-EL PARDO,PEÑA GRANDE,28035,-3.717566523014736,40.476792184653526,contenido/actividades/ActividadesCalleArteUrbano,ActividadesCalleArteUrbano,
10358846,Campamento Urbano CSC Rafael de León segunda quincena,1,,FUENCARRAL-EL PARDO,PEÑA GRANDE,28035,-3.7214686777952974,40.48025613358832,contenido/actividades/Campamentos,Campamentos,
11433386,Mamma mía una y otra vez,1,22:00,FUENCARRAL-EL PARDO,PEÑA GRANDE,28035,-3.717566523014736,40.476792184653526,contenido/actividades/ActividadesCalleArteUrbano,ActividadesCalleArteUrbano,
11433394,Casablanca,1,22:00,FUENCARRAL-EL PARDO,PEÑA GRANDE,28035,-3.717566523014736,40.476792184653526,contenido/actividades/ActividadesCalleArteUrbano,ActividadesCalleArteUrbano,
11727150,Creación de marionetas con materiales reutilizados,1,11:00,USERA,PRADOLONGO,28026,-3.7032220308808577,40.374166248648216,contenido/actividades/CursosTalleres,CursosTalleres,
11727144,Construye un divertido juego de mesa: 'El Mancala',1,11:00,USERA,PRADOLONGO,28026,-3.7032220308808577,40.374166248648216,contenido/actividades/CursosTalleres,CursosTalleres,
11727220,Un Madrid diferente.,1,,USERA,PRADOLONGO,28026,-3.7032220308808577,40.374166248648216,contenido/actividades/Exposiciones,Exposiciones,
11727097,¡Aprendemos a cantar!,1,11:30,USERA,PRADOLONGO,28026,-3.7032220308808577,40.374166248648216,contenido/actividades/CursosTalleres,CursosTalleres,
11726083,Descubre las aves de Pradolongo,1,10:00,USERA,PRADOLONGO,28026,-3.7032220308808577,40.374166248648216,contenido/actividades/ActividadesCalleArteUrbano,ActividadesCalleArteUrbano,
11702618,Descubre Pradolongo,1,10:00,USERA,PRADOLONGO,28026,-3.7032220308808577,40.374166248648216,contenido/actividades/ActividadesCalleArteUrbano,ActividadesCalleArteUrbano,
11727158,Trio de Jazz,1,21:30,USERA,PRADOLONGO,28026,-3.7032220308808577,40.374166248648216,contenido/actividades/Musica,Musica,
11727089,Inventos solares. Creamos nuestro propio reloj de sol,1,11:00,USERA,PRADOLONGO,28026,-3.7032220308808577,40.374166248648216,contenido/actividades/CursosTalleres,CursosTalleres,
11726001,Gymkana por el Parque de Pradolongo,1,10:00,USERA,PRADOLONGO,28026,-3.7032220308808577,40.374166248648216,contenido/actividades/ActividadesCalleArteUrbano,ActividadesCalleArteUrbano,
11729093,EXPOSICION DE FOTOGRAFIA. La imagen revelada,1,,CIUDAD LINEAL,PUEBLO NUEVO,28037,-3.6372924261150033,40.43644651057092,contenido/actividades/Exposiciones,Exposiciones,
11732759,Cuerdas y metales,1,20:30,LATINA,PUERTA DEL ANGEL,28011,-3.725711256326908,40.41294142675344,contenido/actividades/DanzaBaile/Flamenco,DanzaBaile,Flamenco
11730919,Programa de actividades en el Centro Sociocultural Rosario de Acuña (Latina),1,,LATINA,PUERTA DEL ANGEL,28011,-3.732701092024204,40.40647389284976,contenido/actividades/TeatroPerformance/ComediaMonologo,TeatroPerformance,ComediaMonologo
