 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11721846;"Micro abierto 'Fuenkarap'";"";"1";"0";"";"";"2022-07-29 00:00:00.0";"2022-07-29 23:59:00.0";"18:00";"Este mes nos acompaña un icono del barrio dedicado al rap y a la producción musical. Ven a conocer las improvisaciones más ricas del 'Mista' y a dejarte llevar al son de sus rimas en CJ Hontalbilla, ¡Únete a cantar o tocar! Ven y ofrece tu arte, comparte tus curiosidades e intereses y sigamos alimentando el arte de Hontalbilla. El próximo micro abierto podrías llevarlo tú.    Fecha y hora de celebración: viernes 29 de julio de 18:00 a 20:00h..  Periodo de inscripción: Hasta completar plazas. Inscripciones en www.bit.ly/inscripcioncj   Plazas: aforo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1a037064cf4a1810VgnVCM2000001f4a900aRCRD";"Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Julio 2022";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=398de7c38aad1410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=afc93331c9ee2210VgnVCM2000000c205a0aRCRD";"Centro Juvenil Hontalbilla (Fuencarral - El Pardo)";"0";"CALLE";"HONTALBILLA";"10";"FUENCARRAL-EL PARDO";"VALVERDE";"28034";"441474";"4482632";"40.49231828430878";"-3.6906342081203283";"";"/usuario/Jovenes";
11433389;"Mientras dure la guerra";"";"1";"0";"";"";"2022-08-28 00:00:00.0";"2022-08-28 23:59:00.0";"22:00";"Cine español Verano de 1936, al principio de la Guerra Civil española. El célebre escritor Miguel de Unamuno apoya un levantamiento militar para poner orden en la caótica España. Esta decisión provocará el despido inmediato del literato como rector de la Universidad de Salamanca, mientras el general Francisco Franco suma sus tropas frente al bando sublevado, y empieza una campaña muy favorable con la intención de hacerse con el mando único de la guerra. Edad recomendada: No recomendada a menores de 7 años";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c839f0a4ee58a710VgnVCM2000001f4a900aRCRD";"Cine de verano. Go Fit Peñagrande";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=06f35670a5394610VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6b2456babc1c1610VgnVCM1000001d4a900aRCRD";"Centro Deportivo Municipal Peñagrande";"1";"AVENIDA";"MONFORTE DE LEMOS";"184";"FUENCARRAL-EL PARDO";"PEÑA GRANDE";"28035";"439176";"4480925";"40.476792184653526";"-3.717566523014736";"/contenido/actividades/ActividadesCalleArteUrbano";"";
11712719;"Minari (2020)";"";"1";"0";"";"";"2022-09-04 00:00:00.0";"2022-09-04 23:59:00.0";"22:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5629e20e5a861810VgnVCM2000001f4a900aRCRD";"Cine de verano de Vicálvaro";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a23f1b5f1761810VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/CineActividadesAudiovisuales";"";
11728456;"Minari, Historia De Mi Familia";"";"1";"0";"";"";"2022-07-23 00:00:00.0";"2022-07-23 23:59:00.0";"22:00";"Título original: MinariAño: 2020Duración: 123 min.País: Estados UnidosDirector: Lee Isaac ChungReparto: Steven Yeun, Han Ye-ri, Youn Yuh-jung, Alan S. Kim, Noel Cho, Will Patton, Scott Haze, Eric Starkey,Género: Drama | Familia. Inmigración. Vida rural (Norteamérica). Cine independiente USA. Años 80 Edad recomendada: Película no recomendada para menores de 7 años. Sinopsis: David, un niño coreano-americano de 7 años, ve cómo a mediados de los años 80 su vida cambia, de la noche a la mañana, cuando su padre decide mudarse junto a toda su familia a una zona rural de Arkansas para abrir allí una granja, con el propósito de lograr alcanzar el sueño americano.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=85bcec7e4b2d1810VgnVCM1000001d4a900aRCRD";"Cine verano Distrito de Ciudad Lineal 2022";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f851ba84669a1810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c6237b503a71c010VgnVCM1000000b205a0aRCRD";"Auditorio al aire libre. Parque del Calero";"1";"CALLE";"JOSE DEL HIERRO";"3";"CIUDAD LINEAL";"CONCEPCION";"28027";"444836";"4476387";"40.43629956289038";"-3.6504096146979457";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";"";
11709222;"Minari. Historia de mi familia";"";"1";"0";"";"";"2022-08-13 00:00:00.0";"2022-08-13 23:59:00.0";"22:15";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc6928499dc41810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7cfaa531dcf9e210VgnVCM2000000c205a0aRCRD";"Parque de Salvador Allende";"2";"CALLE";"SALVADOR ALLENDE";"3";"CARABANCHEL";"BUENAVISTA";"28054";"435693";"4468472";"40.364341448699825";"-3.757402071835875";"/contenido/actividades/CineActividadesAudiovisuales";"";
11717104;"Mirador Madrid";"";"0";"1";"L,M,X,J,V,S,D";"";"2021-04-06 00:00:00.0";"2024-04-06 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b7228d57b781810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5ff519cd7bcee210VgnVCM1000000b205a0aRCRD";"CentroCentro";"1";"PLAZA";"CIBELES";"1";"RETIRO";"LOS JERONIMOS";"28014";"441277";"4474496";"40.419011767401095";"-3.692206111679657";"/contenido/actividades/ActividadesCalleArteUrbano";"";
11722905;"Mortal kombat";"";"1";"0";"";"";"2022-08-05 00:00:00.0";"2022-08-05 23:59:00.0";"22:00";"Sinopsis:  Mortal Kombat es la nueva adaptación cinematográfica de la famosa saga de videojuegos. La acción sigue a Cole Young, un luchador de MMA acostumbrado a pelear a cambio de dinero, y quien desconoce su importante ascendencia y la valiosa herencia que está a punto de recibir. Este hecho hará que el emperador Shang Tsung de Outworld envíe a su letal guerrero Sub-Zero, un criomante capaz de controlar el hielo para darle caza.  Ante la inminente amenaza, el protagonista, preocupado por la seguridad de su familia, decide ir a buscar a Sonya Blade siguiendo las instrucciones de Jax, quien tiene la misma marca con forma de dragón que él. En su aventura, el protagonista se entrenará con experimentados guerreros para unirse a los mejores luchadores de la Tierra en su enfrentamiento contra los enemigos de Outworld. Película no recomendada para menore de 16 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=40dbc709fa9a1810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=675e280d37e2e210VgnVCM1000000b205a0aRCRD";"Parque Roma";"2";"CALLE";"JUAN ESPLANDIU";"4";"RETIRO";"ESTRELLA";"28007";"443786";"4474188";"40.41641041087398";"-3.662606100328213";"/contenido/actividades/CineActividadesAudiovisuales";"";
11726738;"Mr. Robinson";"";"1";"0";"";"";"2022-08-06 00:00:00.0";"2022-08-06 23:59:00.0";"20:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0e6ce475258c1810VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=14ec3abc4be2e210VgnVCM1000000b205a0aRCRD";"Parque Martin Luther King";"2";"CALLE";"CERRO NEGRO";"1";"RETIRO";"ADELFAS";"28007";"443131";"4472170";"40.398195733324194";"-3.6701340560704026";"/contenido/actividades/Musica";"";
11660378;"Muerdo - Moratalaz";"";"1";"0";"";"";"2022-09-17 00:00:00.0";"2022-09-17 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=aa13eddb1b320810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3073d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural el Torito (Moratalaz)";"1";"AVENIDA";"MORATALAZ";"130";"MORATALAZ";"VINATEROS";"28030";"445141";"4473033";"40.40609591857167";"-3.646536107063507";"/contenido/actividades/1ciudad21distritos";"";
11660377;"Muerdo - Puente de Vallecas";"";"1";"0";"";"";"2022-09-16 00:00:00.0";"2022-09-16 23:59:00.0";"20:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0713eddb1b320810VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=add63d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Pozo del tío Raimundo (Puente de Vallecas)";"1";"AVENIDA";"DE LAS GLORIETAS";"19";"PUENTE DE VALLECAS";"ENTREVIAS";"28053";"443950";"4469433";"40.3735856436473";"-3.6602546064905397";"/contenido/actividades/1ciudad21distritos";"";
